53,183
54,1731
55,3300
56,4040
57,4581
58,5262
59,5734
60,6097
61,5814
62,7764
63,8464
64,9104
65,9800
66,10430
67,11029
68,11494
69,12136
70,12572
71,11476
72,13568
73,13919
74,14275
75,14640
76,14864
77,15183
78,15462
79,15646
80,15659
81,14616
82,16034
83,15941
84,15681
85,15453
86,15054
87,14722
88,14263
89,14113
90,13922
91,12828
92,13171
93,13234
94,13438
95,13311
96,13347
97,13349
98,13383
99,13175
100,13033
101,12704
102,12977
103,13031
104,12646
105,12451
106,12535
107,12281
108,11907
109,11535
110,11157
111,9933
112,10175
113,9417
114,8849
115,7982
116,6860
117,5651
118,4373
119,2743
120,1832
121,691
122,492
123,202
162,1703
163,5192
164,5696
165,5894
166,6210
167,6828
168,7416
169,8148
170,9116
171,9342
172,10640
173,11493
174,12195
175,12802
176,13518
177,14253
178,14598
179,15289
180,15651
181,15446
182,16042
183,16309
184,16370
185,16536
186,16567
187,16520
188,16324
189,15904
190,15623
191,14574
192,14976
193,14318
194,14195
195,13783
196,13373
197,13023
198,12586
199,12671
200,12922
201,12638
202,13230
203,13362
204,13519
205,13351
206,13538
207,13644
208,13517
209,13394
210,13210
211,12013
212,12476
213,11937
214,11697
215,11028
216,9994
217,9259
218,7887
219,6298
220,4935
221,3282
222,2798
223,1584
224,676
225,280
264,1962
265,3780
266,4058
267,4542
268,5228
269,6080
270,7681
271,8216
272,9784
273,10227
274,10814
275,11558
276,11853
277,12326
278,12800
279,13158
280,13409
281,12420
282,14088
283,14290
284,14438
285,14486
286,14429
287,14526
288,14302
289,13888
290,13551
291,11214
292,12044
293,11176
294,10609
295,9874
296,10033
297,10165
298,10358
299,10770
300,10782
301,10114
302,10790
303,10901
304,10918
305,10995
306,11066
307,11189
308,11072
309,11103
310,11085
311,10152
312,10909
313,10920
314,10822
315,10661
316,10188
317,9999
318,9520
319,9000
320,8148
321,6302
322,5137
323,3616
324,2325
325,1174
326,571
366,52
367,5871
368,6359
369,7104
370,7718
371,8097
372,8976
373,9654
374,10843
375,11771
376,12496
377,13043
378,13429
379,13834
380,14053
381,13211
382,14552
383,14798
384,14789
385,14982
386,15165
387,15038
388,14982
389,15039
390,14824
391,13550
392,14329
393,13963
394,13545
395,12910
396,12432
397,12031
398,11506
399,11344
400,11089
401,9466
402,11059
403,11365
404,11648
405,12173
406,12346
407,12465
408,13002
409,13231
410,13132
411,12485
412,13604
413,13685
414,13526
415,13405
416,13339
417,13176
418,12847
419,12565
420,12098
421,10473
422,10270
423,9122
424,8394
425,6932
426,4736
427,2826
428,1600
429,819
430,360
447,24
472,4312
473,6413
474,7185
475,7520
476,8241
477,9015
478,10303
479,11696
480,12949
481,12232
482,14861
483,15331
484,15838
485,16213
486,16466
487,16747
488,16941
489,16928
490,16794
491,14795
492,16423
493,16028
494,15758
495,15460
496,15196
497,14721
498,14248
499,13606
500,13107
501,10355
502,12141
503,11725
504,11592
505,11464
506,11770
507,11913
508,12011
509,11842
510,11965
511,10799
512,11917
513,11856
514,11782
515,11711
516,11622
517,11633
518,11883
519,11857
520,11964
521,10928
522,11986
523,11936
524,11936
525,11961
526,11832
527,11528
528,11247
529,10933
530,10587
531,9539
532,9119
533,8016
534,6362
535,4124
536,2795
537,1832
538,1029
539,451
581,188
582,4875
583,5732
584,5636
585,5732
586,6485
587,7934
588,9840
589,10971
590,11668
591,11775
592,13043
593,13509
594,14038
595,14584
596,15035
597,15425
598,15787
599,15860
600,15868
601,14766
602,15961
603,15917
604,16282
605,16221
606,16284
607,16187
608,16177
609,15962
610,15813
611,14120
612,15433
613,15185
614,14930
615,14784
616,14599
617,14545
618,14068
619,13882
620,13578
621,12013
622,13344
623,13402
624,13421
625,13631
626,13704
627,13799
628,13919
629,14270
630,14323
631,13647
632,14464
633,14442
634,14405
635,14236
636,13818
637,13383
638,13036
639,12195
640,11373
641,10032
642,9213
643,7664
644,6537
645,4944
646,3316
647,2406
648,1472
649,704
650,288
692,2392
693,5711
694,6522
695,7378
696,8529
697,9831
698,10490
699,11199
700,11846
701,11549
702,12722
703,13181
704,13719
705,14041
706,14416
707,14745
708,15061
709,15556
710,15975
711,15675
712,16805
713,17182
714,17506
715,17583
716,17660
717,17731
718,17687
719,17700
720,17461
721,16711
722,16924
723,16740
724,16286
725,16062
726,15775
727,15476
728,15171
729,14997
730,14823
731,13692
732,14570
733,14700
734,14582
735,14488
736,14319
737,14250
738,14270
739,14298
740,14149
741,13656
742,14310
743,14234
744,14199
745,13935
746,13906
747,13427
748,12815
749,12221
750,11368
751,9415
752,8437
753,5824
754,4432
755,2680
756,1368
757,702
758,337
